date|time|description|vendor|amount
2023-11-01|09:00:00|Deposit|Salary|3000.00
2023-11-02|12:30:00|Payment|Rent|-1000.00
2023-11-05|10:15:00|Deposit|Freelance Work|1500.00
2023-11-10|14:20:00|Payment|Utilities|-150.00
2023-11-15|11:00:00|Deposit|Investment Dividend|500.00
2023-11-20|08:30:00|Payment|Internet Subscription|-50.00
2023-11-25|09:00:00|Deposit|Consulting Fee|2000.00
2023-11-28|12:45:00|Payment|Phone Bill|-80.00
2023-12-02|10:30:00|Deposit|Bonus|1000.00
2023-12-05|14:15:00|Payment|Electricity Bill|-120.00
2023-12-10|11:00:00|Deposit|Commission|800.00
2023-12-15|08:45:00|Payment|Groceries|-200.00
2023-12-20|09:30:00|Deposit|Stock Dividend|300.00
2023-12-25|12:00:00|Payment|Gas Bill|-70.00
2023-12-30|09:15:00|Deposit|Royalties|600.00
2024-01-02|10:45:00|Payment|Insurance Premium|-250.00
2024-01-05|11:30:00|Deposit|Refund|400.00
2024-01-10|13:00:00|Payment|Internet Bill|-60.00
2024-01-15|09:45:00|Deposit|Rent Payment|1200.00
2024-01-20|14:00:00|Payment|Water Bill|-90.00
2024-01-25|12:30:00|Deposit|Consultation Fee|1500.00
2024-01-28|08:15:00|Payment|Credit Card Bill|-180.00
2024-02-02|09:30:00|Deposit|Salary|3000.00
2024-02-05|11:00:00|Payment|Rent|-1000.00
2024-02-10|14:15:00|Deposit|Freelance Work|1500.00
2024-02-15|10:30:00|Payment|Utilities|-150.00
2024-02-20|12:45:00|Deposit|Investment Dividend|500.00
2024-02-25|09:00:00|Payment|Internet Subscription|-50.00
2024-02-29|10:00:00|Deposit|Consulting Fee|2000.00
2024-03-02|13:30:00|Payment|Phone Bill|-80.00
2024-03-05|09:45:00|Deposit|Bonus|1000.00
2024-03-10|14:00:00|Payment|Electricity Bill|-120.00
2024-03-15|11:15:00|Deposit|Commission|800.00
2024-03-20|08:30:00|Payment|Groceries|-200.00
2024-03-25|10:45:00|Deposit|Stock Dividend|300.00
2024-03-30|12:00:00|Payment|Gas Bill|-70.00
2024-04-02|09:15:00|Deposit|Royalties|600.00
2024-04-05|11:30:00|Payment|Insurance Premium|-250.00
2024-04-10|14:45:00|Deposit|Refund|400.00
2024-04-15|09:00:00|Payment|Internet Bill|-60.00
2024-04-20|12:15:00|Deposit|Rent Payment|1200.00
2024-04-25|10:30:00|Payment|Water Bill|-90.00
2024-04-29|12:45:00|Deposit|Consultation Fee|1500.00
2024-05-02|09:00:00|Payment|Credit Card Bill|-180.00
2024-05-05|11:15:00|Deposit|Salary|3000.00
2024-05-10|14:30:00|Payment|Rent|-1000.00
2024-05-15|11:45:00|Deposit|Freelance Work|1500.00
2024-05-20|09:00:00|Payment|Utilities|-150.00
2024-05-25|11:15:00|Deposit|Investment Dividend|500.00
2024-05-30|12:30:00|Payment|Internet Subscription|-50.00
2024-06-02|09:45:00|Deposit|Consulting Fee|2000.00
2024-06-05|14:00:00|Payment|Phone Bill|-80.00
2024-06-10|11:15:00|Deposit|Bonus|1000.00
2024-06-15|09:30:00|Payment|Electricity Bill|-120.00
2024-06-20|12:45:00|Deposit|Commission|800.00
2024-06-25|10:00:00|Payment|Groceries|-200.00
2024-06-30|12:15:00|Deposit|Stock Dividend|300.00
2024-07-02|09:30:00|Payment|Gas Bill|-70.00
2024-07-05|11:45:00|Deposit|Royalties|600.00
2024-07-10|14:00:00|Payment|Insurance Premium|-250.00
2024-07-15|12:15:00|Deposit|Refund|400.00
2024-07-20|09:30:00|Payment|Internet Bill|-60.00
2024-07-25|11:45:00|Deposit|Rent Payment|1200.00
2024-07-30|12:00:00|Payment|Water Bill|-90.00
2024-08-02|09:15:00|Deposit|Consultation Fee|1500.00

